###########################################
#Channel,        Pad,        X,        Y  #
###########################################
0,               5,          5,         0
1,               4,          4,         0
2,               7,          7,         0
3,               6,          6,         0
4,               1,          1,         0
5,               0,          0,         0
6,               3,          3,         0
7,               2,          2,         0
8,               13,          5,         1
9,               12,          4,         1
10,               15,          7,         1
11,               14,          6,         1
12,               9,          1,         1
13,               8,          0,         1
14,               11,          3,         1
15,               10,          2,         1
16,               21,          5,         2
17,               20,          4,         2
18,               23,          7,         2
19,               22,          6,         2
20,               17,          1,         2
21,               16,          0,         2
22,               19,          3,         2
23,               18,          2,         2
24,               29,          5,         3
25,               28,          4,         3
26,               31,          7,         3
27,               30,          6,         3
28,               25,          1,         3
29,               24,          0,         3
30,               27,          3,         3
31,               26,          2,         3
32,               37,          5,         4
33,               36,          4,         4
34,               39,          7,         4
35,               38,          6,         4
36,               33,          1,         4
37,               32,          0,         4
38,               35,          3,         4
39,               34,          2,         4
40,               45,          5,         5
41,               44,          4,         5
42,               47,          7,         5
43,               46,          6,         5
44,               41,          1,         5
45,               40,          0,         5
46,               43,          3,         5
47,               42,          2,         5
48,               53,          5,         6
49,               52,          4,         6
50,               55,          7,         6
51,               54,          6,         6
52,               49,          1,         6
53,               48,          0,         6
54,               51,          3,         6
55,               50,          2,         6
56,               61,          5,         7
57,               60,          4,         7
58,               63,          7,         7
59,               62,          6,         7
60,               57,          1,         7
61,               56,          0,         7
62,               59,          3,         7
63,               58,          2,         7
64,               64,          0,         8
65,               65,          1,         8
66,               66,          2,         8
67,               67,          3,         8
68,               68,          4,         8
69,               69,          5,         8
70,               70,          6,         8
71,               71,          7,         8
72,               72,          0,         9
73,               73,          1,         9
74,               74,          2,         9
75,               75,          3,         9
76,               76,          4,         9
77,               77,          5,         9
78,               78,          6,         9
79,               79,          7,         9
80,               80,          0,         10
81,               81,          1,         10
82,               82,          2,         10
83,               83,          3,         10
84,               84,          4,         10
85,               85,          5,         10
86,               86,          6,         10
87,               87,          7,         10
88,               88,          0,         11
89,               89,          1,         11
90,               90,          2,         11
91,               91,          3,         11
92,               92,          4,         11
93,               93,          5,         11
94,               94,          6,         11
95,               95,          7,         11
96,               96,          0,         12
97,               97,          1,         12
98,               98,          2,         12
99,               99,          3,         12
100,               100,          4,         12
101,               101,          5,         12
102,               102,          6,         12
103,               103,          7,         12
104,               104,          0,         13
105,               105,          1,         13
106,               106,          2,         13
107,               107,          3,         13
108,               108,          4,         13
109,               109,          5,         13
110,               110,          6,         13
111,               111,          7,         13
112,               112,          0,         14
113,               113,          1,         14
114,               114,          2,         14
115,               115,          3,         14
116,               116,          4,         14
117,               117,          5,         14
118,               118,          6,         14
119,               119,          7,         14
120,               120,          0,         15
121,               121,          1,         15
122,               122,          2,         15
123,               123,          3,         15
124,               124,          4,         15
125,               125,          5,         15
126,               126,          6,         15
127,               127,          7,         15
128,               128,          0,         16
129,               129,          1,         16
130,               130,          2,         16
131,               131,          3,         16
132,               132,          4,         16
133,               133,          5,         16
134,               134,          6,         16
135,               135,          7,         16
136,               136,          0,         17
137,               137,          1,         17
138,               138,          2,         17
139,               139,          3,         17
140,               140,          4,         17
141,               141,          5,         17
142,               142,          6,         17
143,               143,          7,         17
144,               144,          0,         18
145,               145,          1,         18
146,               146,          2,         18
147,               147,          3,         18
148,               148,          4,         18
149,               149,          5,         18
150,               150,          6,         18
151,               151,          7,         18
152,               152,          0,         19
153,               153,          1,         19
154,               154,          2,         19
155,               155,          3,         19
156,               156,          4,         19
157,               157,          5,         19
158,               158,          6,         19
159,               159,          7,         19
160,               160,          0,         20
161,               161,          1,         20
162,               162,          2,         20
163,               163,          3,         20
164,               164,          4,         20
165,               165,          5,         20
166,               166,          6,         20
167,               167,          7,         20
168,               168,          0,         21
169,               169,          1,         21
170,               170,          2,         21
171,               171,          3,         21
172,               172,          4,         21
173,               173,          5,         21
174,               174,          6,         21
175,               175,          7,         21
176,               176,          0,         22
177,               177,          1,         22
178,               178,          2,         22
179,               179,          3,         22
180,               180,          4,         22
181,               181,          5,         22
182,               182,          6,         22
183,               183,          7,         22
184,               184,          0,         23
185,               185,          1,         23
186,               186,          2,         23
187,               187,          3,         23
188,               188,          4,         23
189,               189,          5,         23
190,               190,          6,         23
191,               191,          7,         23
192,               192,          0,         24
193,               193,          1,         24
194,               194,          2,         24
195,               195,          3,         24
196,               196,          4,         24
197,               197,          5,         24
198,               198,          6,         24
199,               199,          7,         24
