###########################################
#Channel,        Pad,        X,        Y###
###########################################
0,         -100,          -100,           -100
1,         -100,          -100,           -100
2,         -100,          -100,           -100
3,         -100,          -100,           -100
4,         -100,          -100,           -100
5,         -100,          -100,           -100
6,         -100,          -100,           -100
7,         -100,          -100,           -100
8,         48,          0,           2
9,         24,          0,           1
10,         96,          0,           4
11,         72,          0,           3
12,         25,          1,           1
13,         0,          0,           0
14,         73,          1,           3
15,         49,          1,           2
16,         1,          1,           0
17,         97,          1,           4
18,         50,          2,           2
19,         26,          2,           1
20,         98,          2,           4
21,         74,          2,           3
22,         27,          3,           1
23,         2,          2,           0
24,         75,          3,           3
25,         51,          3,           2
26,         3,          3,           0
27,         99,          3,           4
28,         52,          4,           2
29,         28,          4,           1
30,         100,          4,           4
31,         76,          4,           3
32,         29,          5,           1
33,         4,          4,           0
34,         77,          5,           3
35,         53,          5,           2
36,         5,          5,           0
37,         101,          5,           4
38,         54,          6,           2
39,         30,          6,           1
40,         102,          6,           4
41,         78,          6,           3
42,         31,          7,           1
43,         6,          6,           0
44,         79,          7,           3
45,         55,          7,           2
46,         7,          7,           0
47,         103,          7,           4
48,         56,          8,           2
49,         32,          8,           1
50,         104,          8,           4
51,         80,          8,           3
52,         33,          9,           1
53,         8,          8,           0
54,         81,          9,           3
55,         57,          9,           2
56,         9,          9,           0
57,         105,          9,           4
58,         58,          10,           2
59,         34,          10,           1
60,         106,          10,           4
61,         82,          10,           3
62,         35,          11,           1
63,         10,          10,           0
64,         83,          11,           3
65,         59,          11,           2
66,         11,          11,           0
67,         107,          11,           4
68,         60,          12,           2
69,         36,          12,           1
70,         108,          12,           4
71,         84,          12,           3
72,         37,          13,           1
73,         12,          12,           0
74,         85,          13,           3
75,         61,          13,           2
76,         13,          13,           0
77,         109,          13,           4
78,         62,          14,           2
79,         38,          14,           1
80,         110,          14,           4
81,         86,          14,           3
82,         39,          15,           1
83,         14,          14,           0
84,         87,          15,           3
85,         63,          15,           2
86,         15,          15,           0
87,         111,          15,           4
88,         64,          16,           2
89,         40,          16,           1
90,         112,          16,           4
91,         88,          16,           3
92,         41,          17,           1
93,         16,          16,           0
94,         89,          17,           3
95,         65,          17,           2
96,         17,          17,           0
97,         113,          17,           4
98,         66,          18,           2
99,         42,          18,           1
100,         114,          18,           4
101,         90,          18,           3
102,         43,          19,           1
103,         18,          18,           0
104,         91,          19,           3
105,         67,          19,           2
106,         19,          19,           0
107,         115,          19,           4
108,         68,          20,           2
109,         44,          20,           1
110,         116,          20,           4
111,         92,          20,           3
112,         45,          21,           1
113,         20,          20,           0
114,         93,          21,           3
115,         69,          21,           2
116,         21,          21,           0
117,         117,          21,           4
118,         70,          22,           2
119,         46,          22,           1
120,         118,          22,           4
121,         94,          22,           3
122,         47,          23,           1
123,         22,          22,           0
124,         95,          23,           3
125,         71,          23,           2
126,         23,          23,           0
127,         119,          23,           4
128,         -100,          -100,           -100
129,         -100,          -100,           -100
130,         -100,          -100,           -100
131,         -100,          -100,           -100
132,         -100,          -100,           -100
133,         -100,          -100,           -100
134,         -100,          -100,           -100
135,         -100,          -100,           -100
136,         288,          0,           12
137,         264,          0,           11
138,         336,          0,           14
139,         312,          0,           13
140,         265,          1,           11
141,         240,          0,           10
142,         313,          1,           13
143,         289,          1,           12
144,         241,          1,           10
145,         337,          1,           14
146,         290,          2,           12
147,         266,          2,           11
148,         338,          2,           14
149,         314,          2,           13
150,         267,          3,           11
151,         242,          2,           10
152,         315,          3,           13
