###########################################
#Channel,        Pad,        X,        Y###
###########################################
0,      -100,      -100,      -100
1,      -100,      -100,      -100
2,      -100,      -100,      -100
3,      -100,      -100,      -100
4,      -100,      -100,      -100
5,      167,      23,      3
6,      215,      23,      4
7,      71,      23,      1
8,      119,      23,      2
9,      214,      22,      4
10,      23,      23,      0
11,      118,      22,      2
12,      166,      22,      3
13,      22,      22,      0
14,      70,      22,      1
15,      165,      21,      3
16,      213,      21,      4
17,      69,      21,      1
18,      117,      21,      2
19,      212,      20,      4
20,      21,      21,      0
21,      116,      20,      2
22,      164,      20,      3
23,      20,      20,      0
24,      68,      20,      1
25,      163,      19,      3
26,      211,      19,      4
27,      67,      19,      1
28,      115,      19,      2
29,      210,      18,      4
30,      19,      19,      0
31,      114,      18,      2
32,      162,      18,      3
33,      18,      18,      0
34,      66,      18,      1
35,      161,      17,      3
36,      209,      17,      4
37,      65,      17,      1
38,      113,      17,      2
39,      208,      16,      4
40,      17,      17,      0
41,      112,      16,      2
42,      160,      16,      3
43,      16,      16,      0
44,      64,      16,      1
45,      159,      15,      3
46,      207,      15,      4
47,      63,      15,      1
48,      111,      15,      2
49,      206,      14,      4
50,      15,      15,      0
51,      110,      14,      2
52,      158,      14,      3
53,      14,      14,      0
54,      62,      14,      1
55,      157,      13,      3
56,      205,      13,      4
57,      61,      13,      1
58,      109,      13,      2
59,      204,      12,      4
60,      13,      13,      0
61,      108,      12,      2
62,      156,      12,      3
63,      12,      12,      0
64,      60,      12,      1
65,      155,      11,      3
66,      203,      11,      4
67,      59,      11,      1
68,      107,      11,      2
69,      202,      10,      4
70,      11,      11,      0
71,      106,      10,      2
72,      154,      10,      3
73,      10,      10,      0
74,      58,      10,      1
75,      153,      9,      3
76,      201,      9,      4
77,      57,      9,      1
78,      105,      9,      2
79,      200,      8,      4
80,      9,      9,      0
81,      104,      8,      2
82,      152,      8,      3
83,      8,      8,      0
84,      56,      8,      1
85,      151,      7,      3
86,      199,      7,      4
87,      55,      7,      1
88,      103,      7,      2
89,      198,      6,      4
90,      7,      7,      0
91,      102,      6,      2
92,      150,      6,      3
93,      6,      6,      0
94,      54,      6,      1
95,      149,      5,      3
96,      197,      5,      4
97,      53,      5,      1
98,      101,      5,      2
99,      196,      4,      4
100,      5,      5,      0
101,      100,      4,      2
102,      148,      4,      3
103,      4,      4,      0
104,      52,      4,      1
105,      147,      3,      3
106,      195,      3,      4
107,      51,      3,      1
108,      99,      3,      2
109,      194,      2,      4
110,      3,      3,      0
111,      98,      2,      2
112,      146,      2,      3
113,      2,      2,      0
114,      50,      2,      1
115,      145,      1,      3
116,      193,      1,      4
117,      49,      1,      1
118,      97,      1,      2
119,      192,      0,      4
120,      1,      1,      0
121,      96,      0,      2
122,      144,      0,      3
123,      0,      0,      0
124,      48,      0,      1
125,      -100,      -100,      -100
126,      -100,      -100,      -100
127,      -100,      -100,      -100
128,      -100,      -100,      -100
129,      -100,      -100,      -100
130,      -100,      -100,      -100
131,      -100,      -100,      -100
132,      -100,      -100,      -100
133,      191,      47,      3
134,      239,      47,      4
135,      95,      47,      1
136,      143,      47,      2
137,      238,      46,      4
138,      47,      47,      0
139,      142,      46,      2
140,      190,      46,      3
141,      46,      46,      0
142,      94,      46,      1
143,      189,      45,      3
144,      237,      45,      4
145,      93,      45,      1
146,      141,      45,      2
147,      236,      44,      4
148,      45,      45,      0
149,      140,      44,      2
150,      188,      44,      3
151,      44,      44,      0
152,      92,      44,      1
