###########################################
#Channel,        Pad,        X,        Y  #
###########################################
0,               0,          0,         0
1,               1,          1,         0
2,               2,          2,         0
3,               3,          3,         0
4,               4,          4,         0
5,               5,          5,         0
6,               6,          6,         0
7,               7,          7,         0
8,               8,          8,         1
9,               9,          9,         1
10,               10,          10,         1
11,               11,          11,         1
12,               12,          12,         1
13,               13,          13,         1
14,               14,          14,         1
15,               15,          15,         1
16,               16,          16,         2
17,               17,          17,         2
18,               18,          18,         2
19,               19,          19,         2
20,               20,          20,         2
21,               21,          21,         2
22,               22,          22,         2
23,               23,          23,         2
24,               24,          24,         3
25,               25,          25,         3
26,               26,          26,         3
27,               27,          27,         3
28,               28,          28,         3
29,               29,          29,         3
30,               30,          30,         3
31,               31,          31,         3
32,               32,          32,         4
33,               33,          33,         4
34,               34,          34,         4
35,               35,          35,         4
36,               36,          36,         4
37,               37,          37,         4
38,               38,          38,         4
39,               39,          39,         4
40,               40,          40,         5
41,               41,          41,         5
42,               42,          42,         5
43,               43,          43,         5
44,               44,          44,         5
45,               45,          45,         5
46,               46,          46,         5
47,               47,          47,         5
48,               48,          48,         6
49,               49,          49,         6
50,               50,          50,         6
51,               51,          51,         6
52,               52,          52,         6
53,               53,          53,         6
54,               54,          54,         6
55,               55,          55,         6
56,               56,          56,         7
57,               57,          57,         7
58,               58,          58,         7
59,               59,          59,         7
60,               60,          60,         7
61,               61,          61,         7
62,               62,          62,         7
63,               63,          63,         7
64,               64,          64,         8
65,               65,          65,         8
66,               66,          66,         8
67,               67,          67,         8
68,               68,          68,         8
69,               69,          69,         8
70,               70,          70,         8
71,               71,          71,         8
72,               72,          72,         9
73,               73,          73,         9
74,               74,          74,         9
75,               75,          75,         9
76,               76,          76,         9
77,               77,          77,         9
78,               78,          78,         9
79,               79,          79,         9
80,               80,          80,         10
81,               81,          81,         10
82,               82,          82,         10
83,               83,          83,         10
84,               84,          84,         10
85,               85,          85,         10
86,               86,          86,         10
87,               87,          87,         10
88,               88,          88,         11
89,               89,          89,         11
90,               90,          90,         11
91,               91,          91,         11
92,               92,          92,         11
93,               93,          93,         11
94,               94,          94,         11
95,               95,          95,         11
96,               96,          96,         12
97,               97,          97,         12
98,               98,          98,         12
99,               99,          99,         12
100,               100,          100,         12
101,               101,          101,         12
102,               102,          102,         12
103,               103,          103,         12
104,               104,          104,         13
105,               105,          105,         13
106,               106,          106,         13
107,               107,          107,         13
108,               108,          108,         13
109,               109,          109,         13
110,               110,          110,         13
111,               111,          111,         13
112,               112,          112,         14
113,               113,          113,         14
114,               114,          114,         14
115,               115,          115,         14
116,               116,          116,         14
117,               117,          117,         14
118,               118,          118,         14
119,               119,          119,         14
120,               120,          120,         15
121,               121,          121,         15
122,               122,          122,         15
123,               123,          123,         15
124,               124,          124,         15
125,               125,          125,         15
126,               126,          126,         15
127,               127,          127,         15
128,               128,          128,         16
129,               129,          129,         16
130,               130,          130,         16
131,               131,          131,         16
132,               132,          132,         16
133,               133,          133,         16
134,               134,          134,         16
135,               135,          135,         16
136,               136,          136,         17
137,               137,          137,         17
138,               138,          138,         17
139,               139,          139,         17
140,               140,          140,         17
141,               141,          141,         17
142,               142,          142,         17
143,               143,          143,         17
144,               144,          144,         18
145,               145,          145,         18
146,               146,          146,         18
147,               147,          147,         18
148,               148,          148,         18
149,               149,          149,         18
150,               150,          150,         18
151,               151,          151,         18
152,               152,          152,         19
153,               153,          153,         19
154,               154,          154,         19
155,               155,          155,         19
156,               156,          156,         19
157,               157,          157,         19
158,               158,          158,         19
159,               159,          159,         19
160,               160,          160,         20
161,               161,          161,         20
162,               162,          162,         20
163,               163,          163,         20
164,               164,          164,         20
165,               165,          165,         20
166,               166,          166,         20
167,               167,          167,         20
168,               168,          168,         21
169,               169,          169,         21
170,               170,          170,         21
171,               171,          171,         21
172,               172,          172,         21
173,               173,          173,         21
174,               174,          174,         21
175,               175,          175,         21
176,               176,          176,         22
177,               177,          177,         22
178,               178,          178,         22
179,               179,          179,         22
180,               180,          180,         22
181,               181,          181,         22
182,               182,          182,         22
183,               183,          183,         22
184,               184,          184,         23
185,               185,          185,         23
186,               186,          186,         23
187,               187,          187,         23
188,               188,          188,         23
189,               189,          189,         23
190,               190,          190,         23
191,               191,          191,         23
192,               192,          192,         24
193,               193,          193,         24
194,               194,          194,         24
195,               195,          195,         24
196,               196,          196,         24
197,               197,          197,         24
198,               198,          198,         24
199,               199,          199,         24
