###########################################
#Channel,        Pad,        X,        Y  #
###########################################
0,               0,          0,         0
1,               1,          0,         1
2,               2,          1,         0
3,               3,          1,         1
4,               4,          2,         0
5,               5,          2,         1
6,               6,          3,         0
7,               7,          3,         1
8,               8,          4,         0
9,               9,          4,         1
# note: in beam test 8 and 9 were flipped w/ opp polarity as other channels
10,               10,          5,         0
11,               11,          5,         1
12,               12,          6,         0
13,               13,          6,         1
14,               14,          7,         0
15,               15,          7,         1
