###########################################
#Channel,        Pad,        X,        Y  #
###########################################
0,               64,          64,         0
1,               0,          0,         0
2,               65,          65,         0
3,               1,          1,         0
4,               66,          66,         0
5,               2,          2,         0
6,               67,          67,         0
7,               3,          3,         0
8,               68,          68,         0
9,               4,          4,         0
10,               69,          69,         0
11,               5,          5,         0
12,               70,          70,         0
13,               6,          6,         0
14,               71,          71,         0
15,               7,          7,         0
16,               72,          72,         0
17,               8,          8,         0
18,               73,          73,         0
19,               9,          9,         0
20,               74,          74,         0
21,               10,          10,         0
22,               75,          75,         0
23,               11,          11,         0
24,               76,          76,         0
25,               12,          12,         0
26,               77,          77,         0
27,               13,          13,         0
28,               78,          78,         0
29,               14,          14,         0
30,               79,          79,         0
31,               15,          15,         0
32,               80,          80,         0
33,               16,          16,         0
34,               81,          81,         0
35,               17,          17,         0
36,               82,          82,         0
37,               18,          18,         0
38,               83,          83,         0
39,               19,          19,         0
40,               84,          84,         0
41,               20,          20,         0
42,               85,          85,         0
43,               21,          21,         0
44,               86,          86,         0
45,               22,          22,         0
46,               87,          87,         0
47,               23,          23,         0
48,               88,          88,         0
49,               24,          24,         0
50,               89,          89,         0
51,               25,          25,         0
52,               90,          90,         0
53,               26,          26,         0
54,               91,          91,         0
55,               27,          27,         0
56,               92,          92,         0
57,               28,          28,         0
58,               93,          93,         0
59,               29,          29,         0
60,               94,          94,         0
61,               30,          30,         0
62,               95,          95,         0
63,               31,          31,         0
64,               96,          96,         0
65,               32,          32,         0
66,               97,          97,         0
67,               33,          33,         0
68,               98,          98,         0
69,               34,          34,         0
70,               99,          99,         0
71,               35,          35,         0
72,               100,          100,         0
73,               36,          36,         0
74,               101,          101,         0
75,               37,          37,         0
76,               102,          102,         0
77,               38,          38,         0
78,               103,          103,         0
79,               39,          39,         0
80,               104,          104,         0
81,               40,          40,         0
82,               105,          105,         0
83,               41,          41,         0
84,               106,          106,         0
85,               42,          42,         0
86,               107,          107,         0
87,               43,          43,         0
88,               108,          108,         0
89,               44,          44,         0
90,               109,          109,         0
91,               45,          45,         0
92,               110,          110,         0
93,               46,          46,         0
94,               111,          111,         0
95,               47,          47,         0
96,               112,          112,         0
97,               48,          48,         0
98,               113,          113,         0
99,               49,          49,         0
100,               114,          114,         0
101,               50,          50,         0
102,               115,          115,         0
103,               51,          51,         0
104,               116,          116,         0
105,               52,          52,         0
106,               117,          117,         0
107,               53,          53,         0
108,               118,          118,         0
109,               54,          54,         0
110,               119,          119,         0
111,               55,          55,         0
112,               120,          120,         0
113,               56,          56,         0
114,               121,          121,         0
115,               57,          57,         0
116,               122,          122,         0
117,               58,          58,         0
118,               123,          123,         0
119,               59,          59,         0
120,               124,          124,         0
121,               60,          60,         0
122,               125,          125,         0
123,               61,          61,         0
124,               126,          126,         0
125,               62,          62,         0
126,               127,          127,         0
127,               63,          63,         0
