###########################################
#Channel,        Pad,        X,        Y  #
###########################################
0,               64,          64,         0
1,               128,          128,         0
2,               63,          63,         0
3,               127,          127,         0
4,               62,          62,         0
5,               126,          126,         0
6,               61,          61,         0
7,               125,          125,         0
8,               60,          60,         0
9,               124,          124,         0
10,               59,          59,         0
11,               123,          123,         0
12,               58,          58,         0
13,               122,          122,         0
14,               57,          57,         0
15,               121,          121,         0
16,               56,          56,         0
17,               120,          120,         0
18,               55,          55,         0
19,               119,          119,         0
20,               54,          54,         0
21,               118,          118,         0
22,               53,          53,         0
23,               117,          117,         0
24,               52,          52,         0
25,               116,          116,         0
26,               51,          51,         0
27,               115,          115,         0
28,               50,          50,         0
29,               114,          114,         0
30,               49,          49,         0
31,               113,          113,         0
32,               48,          48,         0
33,               112,          112,         0
34,               47,          47,         0
35,               111,          111,         0
36,               46,          46,         0
37,               110,          110,         0
38,               45,          45,         0
39,               109,          109,         0
40,               44,          44,         0
41,               108,          108,         0
42,               43,          43,         0
43,               107,          107,         0
44,               42,          42,         0
45,               106,          106,         0
46,               41,          41,         0
47,               105,          105,         0
48,               40,          40,         0
49,               104,          104,         0
50,               39,          39,         0
51,               103,          103,         0
52,               38,          38,         0
53,               102,          102,         0
54,               37,          37,         0
55,               101,          101,         0
56,               36,          36,         0
57,               100,          100,         0
58,               35,          35,         0
59,               99,          99,         0
60,               34,          34,         0
61,               98,          98,         0
62,               33,          33,         0
63,               97,          97,         0
64,               32,          32,         0
65,               96,          96,         0
66,               31,          31,         0
67,               95,          95,         0
68,               30,          30,         0
69,               94,          94,         0
70,               29,          29,         0
71,               93,          93,         0
72,               28,          28,         0
73,               92,          92,         0
74,               27,          27,         0
75,               91,          91,         0
76,               26,          26,         0
77,               90,          90,         0
78,               25,          25,         0
79,               89,          89,         0
80,               24,          24,         0
81,               88,          88,         0
82,               23,          23,         0
83,               87,          87,         0
84,               22,          22,         0
85,               86,          86,         0
86,               21,          21,         0
87,               85,          85,         0
88,               20,          20,         0
89,               84,          84,         0
90,               19,          19,         0
91,               83,          83,         0
92,               18,          18,         0
93,               82,          82,         0
94,               17,          17,         0
95,               81,          81,         0
96,               16,          16,         0
97,               80,          80,         0
98,               15,          15,         0
99,               79,          79,         0
100,               14,          14,         0
101,               78,          78,         0
102,               13,          13,         0
103,               77,          77,         0
104,               12,          12,         0
105,               76,          76,         0
106,               11,          11,         0
107,               75,          75,         0
108,               10,          10,         0
109,               74,          74,         0
110,               9,          9,         0
111,               73,          73,         0
112,               8,          8,         0
113,               72,          72,         0
114,               7,          7,         0
115,               71,          71,         0
116,               6,          6,         0
117,               70,          70,         0
118,               5,          5,         0
119,               69,          69,         0
120,               4,          4,         0
121,               68,          68,         0
122,               3,          3,         0
123,               67,          67,         0
124,               2,          2,         0
125,               66,          66,         0
126,               1,          1,         0
127,               65,          65,         0
